Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,09,29,12,19,06,0.55,0.71,0.58,0.85, 8.5, 7.4, 7.3, 8.4, 172, 15.333,   0.100,   296
22,09,29,14,19,06,0.44,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 176, 14.976,   0.184,   111
22,09,29,16,19,06,0.31,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 196, 13.221,   0.309,   150
22,09,29,18,19,06,0.29,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 159, 12.136,   0.199,   195
22,09,29,20,19,06,0.33,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 184, 12.473,   0.234,   290
22,09,29,22,19,06,0.30,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 154, 13.761,   0.321,   303
22,09,30,00,19,06,0.30,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 171, 14.915,   0.171,   299
22,09,30,02,19,06,0.44,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 183, 14.902,   0.103,   120
22,09,30,04,19,06,0.22,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 175, 13.566,   0.185,   139
22,09,30,06,19,06,0.18,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 175, 12.464,   0.102,   151
22,09,30,08,19,06,0.30,0.41,0.33,-0.00, 8.5, 6.0, 4.9,-0.1, 159, 12.616,   0.174,   292
22,09,30,10,19,06,0.19,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 189, 13.884,   0.313,   301
22,09,30,12,19,06,0.20,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 179, 15.073,   0.178,   289
22,09,30,14,19,06,0.27,0.39,0.32,0.49, 6.7, 6.2, 5.3, 7.9, 203, 15.230,   0.045,   132
22,09,30,16,19,06,0.23,0.49,0.37,0.60,11.6, 6.1, 5.2, 6.1, 159, 14.036,   0.263,   134
22,09,30,18,19,06,0.13,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 155, 12.462,   0.203,   162
22,09,30,20,19,06,0.15,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 151, 12.251,   0.123,   259
22,09,30,22,19,06,0.15,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 184, 13.078,   0.315,   299
22,10,01,00,19,06,0.14,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 155, 14.461,   0.218,   299
22,10,01,02,19,06,0.14,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 184, 14.942,   0.018,   204
22,10,01,04,19,06,0.15,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 159, 14.235,   0.218,   121
22,10,01,06,19,06,0.15,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 184, 12.804,   0.183,   150
22,10,01,08,19,06,0.17,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 155, 12.484,   0.098,   250
22,10,01,10,19,06,0.20,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 171, 13.223,   0.285,   298
22,10,01,12,19,06,0.15,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 167, 14.652,   0.255,   299
22,10,01,14,19,06,0.30,0.48,0.38,0.57, 8.5, 7.1, 6.6, 7.1, 195, 15.272,   0.051,   298
22,10,01,16,19,06,0.23,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 171, 14.676,   0.219,   119
22,10,01,18,19,06,0.19,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 175, 13.083,   0.191,   141
22,10,01,20,19,06,0.24,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 175, 12.289,   0.080,   189
22,10,01,22,19,06,0.44,0.58,0.47,0.76, 7.5, 6.8, 6.4, 7.6, 155, 12.652,   0.214,   302
22,10,02,00,19,06,0.28,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 171, 13.936,   0.297,   309
22,10,02,02,19,06,0.29,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 185, 14.785,   0.164,   298
22,10,02,04,19,06,0.35,-0.00,-0.00,-0.00,14.2,-0.1,-0.1,-0.1, 184, 14.650,   0.094,   126
22,10,02,06,19,06,0.43,-0.00,-0.00,-0.00, 2.6,-0.1,-0.1,-0.1,  39, 13.410,   0.168,   142
22,10,02,08,19,06,0.29,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 185, 12.633,   0.073,   173
22,10,02,10,19,06,0.61,0.82,0.69,-0.00,11.6, 4.8, 4.2,-0.1, 195, 12.887,   0.194,   299
22,10,02,12,19,06,0.69,0.79,0.69,-0.00,11.6, 4.2, 3.9,-0.1, 159, 14.163,   0.270,   283
22,10,02,14,19,06,0.62,0.72,0.58,1.04,11.6, 6.0, 5.3, 9.0, 147, 15.214,   0.160,   294
22,10,02,16,19,06,0.64,0.76,0.62,1.04,11.6, 5.7, 4.9, 9.1, 147, 15.234,   0.065,   143
22,10,02,18,19,06,0.57,0.77,0.67,-0.00, 9.8, 5.2, 4.8,-0.1, 154, 14.119,   0.207,   137
22,10,02,20,19,06,0.50,0.63,0.51,-0.00, 9.8, 5.2, 4.5,-0.1, 171, 12.728,   0.103,   166
22,10,02,22,19,06,0.30,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 163, 12.506,   0.117,   274
22,10,03,00,19,06,0.36,-0.00,-0.00,-0.00, 2.6,-0.1,-0.1,-0.1, 235, 13.196,   0.226,   290
22,10,03,02,19,06,0.27,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 185, 14.524,   0.168,   289
22,10,03,04,19,06,0.35,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 167, 14.932,   0.038,   306
22,10,03,06,19,06,0.36,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 189, 14.394,   0.141,   122
22,10,03,08,19,06,0.27,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 167, 13.149,   0.123,   138
22,10,03,10,19,06,0.48,0.60,0.48,0.82, 6.1, 5.2, 4.4, 5.6, 159, 12.791,   0.085,   271
22,10,03,12,19,06,0.26,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 171, 13.414,   0.231,   302
22,10,03,14,19,06,0.26,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 183, 14.699,   0.231,   295
22,10,03,16,19,06,0.41,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 171, 15.252,   0.027,   317
22,10,03,18,19,06,0.47,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 185, 14.846,   0.207,   133
22,10,03,20,19,06,0.43,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 164, 13.334,   0.206,   127
22,10,03,22,19,06,0.34,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 189, 12.442,   0.069,   186
22,10,04,00,19,06,0.57,0.71,0.58,0.96, 5.6, 6.0, 5.6, 6.0, 171, 12.670,   0.154,   294
22,10,04,02,19,06,0.43,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 185, 13.840,   0.251,   307
22,10,04,04,19,06,0.36,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 179, 14.714,   0.116,   277
22,10,04,06,19,06,0.61,0.69,0.63,-0.00, 8.5, 4.9, 4.0,-0.1, 167, 14.752,   0.073,   145
22,10,04,08,19,06,0.49,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 167, 13.836,   0.189,   136
22,10,04,10,19,06,0.55,0.72,0.59,0.97, 6.1, 5.9, 5.6, 7.1, 174, 12.763,   0.066,   167
22,10,04,12,19,06,0.59,0.84,0.71,1.09, 8.5, 5.6, 5.4, 5.8, 167, 12.861,   0.128,   285
22,10,04,14,19,06,0.64,0.87,0.73,1.13, 8.5, 5.7, 5.0, 7.1, 167, 13.983,   0.250,   297
22,10,04,16,19,06,0.52,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 151, 14.977,   0.130,   283
22,10,04,18,19,06,0.78,0.98,0.79,1.32, 7.5, 7.2, 6.7, 7.8, 175, 15.218,   0.039,   143
22,10,04,20,19,06,0.70,0.89,0.79,-0.00, 6.7, 5.7, 5.1,-0.1, 167, 14.323,   0.238,   130
